src_id,tgt_id,relationship,justification,confidence
5.9-3,5.1.1-1,NO_RELATION,IoT stable/orderly network connection (device connectivity behavior) vs. AI staff security training programme (organizational human-factors control). Completely different domains.,3
5.8-3,5.1.2-3,NO_RELATION,"303645 discloses external sensing capabilities to end-users for privacy transparency; 304223 requires developers to maintain an internal audit trail of ML data preparation. Different audience (consumer vs. developer), subject (device sensors vs. ML data lineage), and purpose.",3
5.5-3,5.2.4-2,NO_RELATION,Crypto algorithm replaceability (crypto-agility design property of IoT device) vs. training data poisoning documentation (ML data provenance). No shared control or objective.,3
5.3-16,5.1.4-2,NO_RELATION,303645 'model designation' means product identification labelling on a physical device; 304223 'model output explainability' refers to AI model interpretability. The word 'model' is used in completely different senses.,3
5.7-1,5.1.3-1,NO_RELATION,Secure boot via hardware root of trust is a specific technical boot-integrity control; AI threat modelling is an organizational risk assessment process. A specific control does not map to the process that might identify the need for it.,2
5.11-4,5.1.4-5,NO_RELATION,"User confirmation that personal data was deleted (post-deletion lifecycle receipt) vs. informing users of prohibited AI use cases (pre-use policy notice). Both involve end-user notices but differ in trigger, subject, and purpose.",2
5.9-3,5.2.5-4,NO_RELATION,IoT orderly/stable network connection state vs. AI model output evaluation to prevent reverse engineering of model internals. Device connectivity behavior shares no security objective with ML output privacy.,3
5.6-8,5.2.1-1,NO_RELATION,Hardware-level memory access control (silicon-level security mechanism) vs. AI asset inventory management (organizational process). Hardware memory protection does not map to asset cataloguing.,3
5.2-1,5.1.2-3,NO_RELATION,IoT VDP policy publication governs external researcher-to-manufacturer vulnerability reporting; AI developer audit trail documents internal ML data preparation and model lifecycle. Different direction (external vs. internal) and purpose (disclosure vs. provenance).,2
5.1-1,5.2.4-2,NO_RELATION,Unique per-device passwords (authentication credential uniqueness) vs. training data poisoning documentation (ML data provenance for publicly sourced data). Authentication credential management shares no objective with ML training data integrity.,3
5.10-1,5.1.4-3,NO_RELATION,"IoT telemetry examination for security anomalies (automated monitoring of usage/measurement data) vs. AI human oversight as a technical risk control (governance accountability for AI decisions). Different control type, subject, and objective.",2
5.13-1A,5.1.2-1,NO_RELATION,"UI-layer input validation (runtime technical control sanitizing user input to device) vs. AI pre-deployment business assessment (organizational strategic risk assessment before creating an AI system). Different lifecycle stage, control type, and purpose.",2
5.8-3,5.2.5-4,NO_RELATION,Documenting device sensing capabilities for user transparency vs. evaluating AI model outputs to prevent reverse engineering of training data. Both relate to 'what a system reveals' but differ in domain: hardware privacy disclosure vs. ML model IP protection.,2
5.3-2,5.4.1-2,SUBSUMPTION_A_BROADER,"303645 mandates a secure update mechanism for ALL software components (mandatory, universal); 304223 only addresses how major updates should be treated (as a new model version). The IoT universal update-mechanism requirement subsumes the AI major-update handling procedure — the AI provision covers a specific subset of update scenarios that IoT already governs broadly.",3
5.5-4,5.2.2-2,SUBSUMPTION_A_BROADER,"303645 requires authentication for ALL network interface access in the initialized state; 304223 requires controls on external API access specifically to prevent exploitation of ML limitations. IoT's blanket network authentication requirement is broader — every scenario governed by the AI external-API control is a specific instance of the IoT network-authentication mandate, but IoT covers far more network access types.",3
5.7-2,5.4.2-3,OVERLAP,"303645 alerts on detected unauthorized software changes; 304223 monitors internal AI system states for security threats. Both perform security monitoring but address different concerns — IoT focuses on software integrity events, AI on operational state anomalies. Neither subsumes the other.",2
5.6-2,5.2.5-4,SUBSUMPTION_A_BROADER,"303645 requires minimizing unauthorized disclosure of ALL security-relevant information on network interfaces; 304223 requires evaluating model outputs to prevent reverse-engineering of training data and model weights. Every case of AI model-output information leakage is a specific instance of the IoT security-information-minimization requirement, but IoT covers a broader category of security-relevant disclosures.",2
5.8-2,5.2.1-4.2,SUBSUMPTION_A_BROADER,303645 mandates (SHALL) cryptographic protection for ALL sensitive personal data communicated between device and services; 304223 requires proportionate protection (conditional: 'where...could be confidential') for training data and model weights. IoT's requirement is mandatory and covers all sensitive personal data in transit; AI's is conditional and scoped to model-specific confidential assets.,2
5.2-3,5.1.3-4,SUBSUMPTION_B_BROADER,"303645 requires manufacturers to continually monitor, identify and rectify security vulnerabilities within product components; 304223 requires continuously monitoring the entire system infrastructure AND supply chain AND third-party components for security issues. The AI provision subsumes and extends the IoT requirement — both cover component vulnerability monitoring, but AI also covers supply chain, infrastructure, and third-party dependencies.",3
5.7-1,5.2.3-1,SUBSUMPTION_B_BROADER,"303645 requires software integrity verification using secure boot and hardware root of trust (a specific integrity control at boot time); 304223 requires following secure software supply chain processes covering model development, procurement, third-party components, and ongoing integrity across the full lifecycle. The AI supply chain security requirement subsumes the IoT boot-integrity check as one element of a broader, end-to-end software integrity mandate.",3
5.1-5,5.2.2-5,COMPLEMENTARITY,"303645 requires a technical preventive mechanism against brute-force on device authentication; 304223 requires an organizational incident management and recovery plan. One is a preventive technical control, the other a reactive organizational process — they are complementary, not in a subsumption relationship.",2
5.2-1,5.2.2-5,SUBSUMPTION_B_BROADER,"303645 requires publishing a vulnerability disclosure policy (one specific process for receiving and acknowledging external vulnerability reports); 304223 requires a full AI incident management plan covering disclosure, detection, response, containment, recovery, and communication. The AI provision subsumes VDP as one component of a comprehensive incident management regime.",2
5.5-6,5.2.1-4,SUBSUMPTION_B_BROADER,"303645 requires critical security parameters to be encrypted in transit with appropriate technology; 304223 requires ALL parties to protect ALL sensitive data including training data, test sets, personal data, and model weights. The AI sensitive-data protection mandate is broader — it covers all data classes at rest and in transit, whereas IoT's requirement is limited to CSPs in transit specifically.",3
5.7-2,5.4.2-1,SUBSUMPTION_B_BROADER,"303645 requires alerting on detected unauthorized changes to device software; 304223 requires logging ALL system and user actions to support compliance, incident investigations, and vulnerability tracking. The AI logging mandate is broader — it captures all actions proactively for multiple purposes (compliance, forensics, incident response), whereas IoT logs only in reaction to detected unauthorized changes.",2
5.0-1,5.2.4-1.1,OVERLAP,"Both require documenting security decision justifications: 303645 mandates recording a justification for each recommendation not applied; 304223 requires the audit trail document to include security-relevant information such as rationale for design decisions. Shared objective of traceability, but different triggers (non-applicability exceptions vs. general design rationale).",2
5.5-8,5.2.4-3,OVERLAP,"303645 requires secure management processes for critical security parameters throughout their lifecycle; 304223 requires an audit log of changes to system prompts and other model configurations. Both address lifecycle auditability of security-critical operational parameters, but IoT scope covers full CSP management whereas AI scope is specifically configuration change logging.",2
5.12-2,5.3.1-2.1,OVERLAP,"303645 requires manufacturers to provide guidance on how to securely set up the IoT device; 304223 requires System Operators to provide guidance on appropriate use of the model including its limitations and safe operation. Both provide end-user security guidance but at different lifecycle phases — IoT targets initial setup/installation, AI targets ongoing appropriate use.",2
