src_id,tgt_id,stratum,screening_score,N_stratum,n_stratum,weight,in_pilot,source,batch_x,relationship,justification,confidence,batch_y
5.0-1,5.2.2-6,M,0.7046698872785829,1490.0,200.0,7.45,False,sample,0,COMPLEMENTARITY,Recorded justifications for non-applicable provisions and contractual flow-down to cloud providers are different routes to the same assurance posture.,2,0
5.3-12,5.2.5-2.1,L,0.1431561996779388,2981.0,200.0,14.905,False,sample,0,NO_RELATION,User notification of disruptive updates versus use of independent security testers.,3,0
5.12-3,5.1.3-1.1,H,0.7782206119162641,497.0,250.0,1.988,False,sample,0,COMPLEMENTARITY,Both bear on secure configuration but from opposite ends: user-facing verification guidance versus internal threat modelling when configuration changes.,2,0
5.13-1B,5.2.1-3,M,0.5740338164251207,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Input validation versus disaster recovery planning.,3,0
5.12-3,5.4.2-4,H,0.7994363929146537,497.0,250.0,1.988,False,sample,0,COMPLEMENTARITY,"Continued assurance of a secure state, approached through user self-checks and through operator-side behavioural monitoring.",2,0
5.3-11,5.4.1-1,H,0.8178743961352657,497.0,250.0,1.988,False,sample,0,SUBSUMPTION_B_BROADER,"A requires informing the user that an update is needed; B covers producing the update, notifying operators, and delivering it to end-users, which includes A's notification duty.",2,0
5.5-2,5.1.3-3,H,0.8876006441223833,497.0,250.0,1.988,False,sample,0,NO_RELATION,Vetted cryptographic implementations versus assurance over external risk owners.,3,0
5.11-1,5.1.2-1,L,0.2968196457326891,2981.0,200.0,14.905,False,sample,0,NO_RELATION,User data erasure versus pre-build requirements and risk assessment.,3,0
5.5-8,5.2.2-1,H,0.8827294685990339,497.0,250.0,1.988,False,sample,0,OVERLAP,"Both protect security-critical assets; A over the lifecycle of critical security parameters, B through access-control measures on APIs, models and data.",2,0
5.2-1,5.2.1-4.1,H,0.8052737520128824,497.0,250.0,1.988,False,sample,0,NO_RELATION,Vulnerability disclosure policy versus data and input sanitisation.,3,0
5.7-1,5.3.1-2.1,L,0.3017310789049919,2981.0,200.0,14.905,False,sample,0,NO_RELATION,Secure boot verification versus usage guidance.,3,0
5.3-6A,5.2.2-3,L,0.2461755233494364,2981.0,200.0,14.905,False,sample,0,NO_RELATION,User control over automatic updates versus separated development environments.,3,0
5.9-2,5.2.1-4,L,0.3811996779388084,2981.0,200.0,14.905,False,sample,0,NO_RELATION,Resilience to network and power loss versus confidentiality of sensitive data.,3,0
5.5-5,5.4.2-3,M,0.6176328502415459,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Authentication before configuration change versus monitoring internal model states.,3,0
5.2-1,5.2.1-4.2,M,0.6086151368760064,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Disclosure policy publication versus confidentiality of model weights.,3,0
5.3-7,5.2.1-4.2,M,0.6028582930756844,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Cryptography securing the update channel versus confidentiality protection for training data and weights; both invoke protection but pursue different objectives.,2,0
5.5-5,5.5.1-1,M,0.7487117552334943,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Authenticated configuration change versus asset disposal at handover.,3,0
5.13-1B,5.4.1-1,M,0.6974637681159421,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Input validation versus patch provision and delivery.,3,0
5.3-10,5.1.3-1,M,0.6394927536231884,1490.0,200.0,7.45,False,sample,0,COMPLEMENTARITY,"A is a specific update-integrity control, B the threat-modelling process that would identify the need for such controls; distinct objectives, jointly effective.",2,0
5.5-8,5.2.1-3,M,0.6572866344605475,1490.0,200.0,7.45,False,sample,0,NO_RELATION,Key lifecycle management versus disaster recovery planning.,3,0
5.13-1A,5.2.1-4.1,H,0.9457125603864732,497.0,250.0,1.988,True,sample,0,OVERLAP,"Both mandate validation and sanitisation of untrusted input; A at the device user interface, B across model data and inputs.",3,0
5.5-2,5.1.4-4,H,0.7818438003220612,497.0,250.0,1.988,False,sample,0,OVERLAP,"Both require verification that security functionality is correctly implemented, A through reviewed implementations and B through checking specified controls were built in.",2,0
5.12-1,5.4.2-4,H,0.7823671497584541,497.0,250.0,1.988,False,sample,0,NO_RELATION,Installation usability versus behavioural performance monitoring.,3,0
5.4-4,5.1.2-4,H,0.90402576489533,497.0,250.0,1.988,False,sample,0,NO_RELATION,Per-device parameter uniqueness versus due diligence on external components.,3,0
5.3-6B,5.1.1-2.1,M,0.5884460547504026,1490.0,200.0,7.45,False,sample,0,COMPLEMENTARITY,"Both concern dissemination of security update information, but to different audiences: end-user notification control versus internal staff awareness channels.",2,0
5.12-2,5.2.1-2,H,0.8926731078904993,497.0,250.0,1.988,False,sample,0,NO_RELATION,Setup guidance for users versus asset tracking and version control.,3,0
5.3-12,5.2.2-3,L,0.318317230273752,2981.0,200.0,14.905,False,sample,0,NO_RELATION,Disruption notification versus development environment separation.,3,0
5.2-1,5.1.3-1.1,M,0.7294685990338163,1490.0,200.0,7.45,False,sample,1,NO_RELATION,Public disclosure policy versus internal threat modelling on configuration changes.,3,1
5.11-1,5.5.1-2,H,0.8310789049919484,497.0,250.0,1.988,True,sample,1,OVERLAP,"Both require secure erasure of data when it is no longer to be retained; A on user demand at the device, B on decommissioning of a model or system.",3,1
5.3-10,5.1.2-2,M,0.5850644122383253,1490.0,200.0,7.45,False,sample,1,COMPLEMENTARITY,Update-integrity verification and general resilience to adversarial input are separate objectives that together harden the system against tampering.,2,1
5.3-2,5.2.3-2,H,0.8276167471819645,497.0,250.0,1.988,False,sample,1,NO_RELATION,Device update capability versus justifying the use of poorly documented components.,3,1
5.3-2,5.4.1-1,M,0.6359098228663446,1490.0,200.0,7.45,True,sample,1,OVERLAP,"Both serve the delivery of security updates; A requires the device to support a secure update mechanism, B requires the supply chain to produce and deliver the updates.",2,1
5.2-3,5.3.1-2,H,0.8076086956521739,497.0,250.0,1.988,False,sample,1,NO_RELATION,Vulnerability monitoring and rectification versus usage guidance for end-users.,3,1
5.3-14,5.2.2-6,H,0.8241143317230273,497.0,250.0,1.988,False,sample,1,NO_RELATION,Publishing hardware replacement support versus cloud provider contractual flow-down.,3,1
5.6-3,5.4.2-4,M,0.6002415458937198,1490.0,200.0,7.45,False,sample,1,NO_RELATION,Physical attack surface versus behavioural performance monitoring.,3,1
5.3-1,5.2.3-2,H,0.8402576489533011,497.0,250.0,1.988,False,sample,1,NO_RELATION,Software updateability versus documentation justifying component choice.,3,1
5.7-2,5.2.2-6,M,0.6234702093397745,1490.0,200.0,7.45,False,sample,1,NO_RELATION,Tamper alerting on the device versus contractual arrangements with cloud operators.,3,1
5.6-8,5.1.3-1,H,0.7884863123993558,497.0,250.0,1.988,False,sample,1,COMPLEMENTARITY,"A is a specific memory-protection control, B the threat analysis process that would motivate selecting it.",2,1
5.2-2,5.2.4-3,M,0.7602657004830918,1490.0,200.0,7.45,False,sample,1,NO_RELATION,Timely remediation of disclosed vulnerabilities versus audit logging of prompt and configuration changes.,3,1
5.5-5,5.1.4-4,M,0.6964170692431562,1490.0,200.0,7.45,False,sample,1,COMPLEMENTARITY,Mandating an authentication control and verifying that specified controls were actually implemented are distinct duties in the same assurance chain.,2,1
5.3-6B,5.2.1-2,M,0.6758856682769727,1490.0,200.0,7.45,False,sample,1,NO_RELATION,User control over update notifications versus asset tracking and version control.,3,1
5.9-2,5.4.2-4,L,0.4815217391304348,2981.0,200.0,14.905,False,sample,1,NO_RELATION,Local operation through outages versus monitoring model behaviour over time.,3,1
5.1-1,5.2.3-2,M,0.6247584541062802,1490.0,200.0,7.45,False,sample,1,NO_RELATION,Per-device password uniqueness versus supply-chain component justification.,3,1
5.6-9,5.2.5-2,M,0.7618357487922706,1490.0,200.0,7.45,False,sample,1,COMPLEMENTARITY,Secure development practice and pre-deployment testing are different objectives that jointly govern a secure release.,2,1
5.13-1A,5.4.2-1,H,0.802415458937198,497.0,250.0,1.988,False,sample,1,NO_RELATION,Input validation prevents manipulation; logging records actions after the fact.,3,1
5.4-1,5.3.1-2.1,L,0.3834943639291465,2981.0,200.0,14.905,False,sample,1,NO_RELATION,Secure storage of security parameters versus guidance on model limitations.,3,1
5.1-4,5.3.1-2.2,H,0.7761272141706924,497.0,250.0,1.988,False,sample,1,NO_RELATION,Credential change mechanism versus notifying end-users about security updates.,3,1
5.6-3,5.1.3-1.1,L,0.4708132045088566,2981.0,200.0,14.905,False,sample,1,NO_RELATION,"Physical interface exposure is a hardware design matter, whereas B addresses risks arising from new settings or configuration options.",2,1
5.13-1B,5.1.2-2,,,,,,,pilot,1,SUBSUMPTION_B_BROADER,"A requires validation of unexpected network input; B requires withstanding unexpected inputs together with adversarial attacks and system failure, which contains A's obligation.",2,1
5.7-2,5.2.4-3,H,0.8825684380032206,497.0,250.0,1.988,False,sample,1,OVERLAP,"Both establish accountability for unauthorized change to a deployed system, A by alerting on detection and B by keeping an audit log of configuration changes.",2,1
5.1-5,5.1.3-4,L,0.4394122383252818,2981.0,200.0,14.905,False,sample,1,NO_RELATION,Brute-force resistance versus continuous infrastructure risk review.,3,1
5.9-2,5.2.1-3,,,,,,,pilot,1,OVERLAP,"Both address continuity and recovery from disruption; A as device-level resilience, B as organizational disaster recovery planning.",2,1
5.3-7,5.4.1-1,M,0.6975845410628019,1490.0,200.0,7.45,True,sample,1,COMPLEMENTARITY,Securing the update channel cryptographically and actually producing and delivering patches are distinct obligations that together make patching effective.,2,1
5.6-3,5.3.1-3,M,0.5993558776167471,1490.0,200.0,7.45,False,sample,1,NO_RELATION,Physical attack surface versus incident support for end-users.,3,1
5.7-2,5.4.2-4,H,0.8745169082125603,497.0,250.0,1.988,False,sample,1,OVERLAP,"Both detect security-relevant change in a deployed system, A through integrity alerting and B through behavioural monitoring.",2,1
5.6-4B,5.2.2-1,,,,,,,pilot,1,OVERLAP,"Both restrict access to system internals; A physically protects debug ports, B applies access-control measures to APIs, models and pipelines.",2,1
5.1-2,5.2.1-2,H,0.8588969404186795,497.0,250.0,1.988,False,sample,1,NO_RELATION,Password generation strength versus asset tracking and version control.,3,1
5.6-1,5.2.2-3,H,0.8407809983896941,497.0,250.0,1.988,False,sample,1,OVERLAP,"Both reduce exposure by separation and disabling what is not needed, A for unused interfaces and B for development environments under least privilege.",2,1
5.10-1,5.4.2-2,,,,,,,pilot,1,OVERLAP,"Both require operational data to be analysed for security anomalies; A covers device telemetry, B covers system logs and model behaviour including drift and poisoning.",3,1
5.4-4,5.4.1-1.1,H,0.9172302737520128,497.0,250.0,1.988,False,sample,1,NO_RELATION,Uniqueness of security parameters versus contingency planning where updates are impossible.,3,1
5.4-3,5.1.2-2,L,0.5247987117552335,2981.0,200.0,14.905,False,sample,1,NO_RELATION,Prohibition on hard-coded credentials versus general resilience to adversarial AI attack.,2,1
5.12-2,5.2.5-2.1,M,0.5895732689210951,1490.0,200.0,7.45,False,sample,1,NO_RELATION,User setup guidance versus independent security testing.,3,1
5.3-15A,5.1.4-1,L,0.3735909822866344,2981.0,200.0,14.905,False,sample,1,NO_RELATION,Isolability of non-updatable devices versus human oversight of AI systems.,3,1
5.6-9,5.2.5-4.1,H,0.8657809983896939,497.0,250.0,1.988,False,sample,1,NO_RELATION,Secure development process versus evaluating model outputs for unintended influence.,3,1
5.6-2,5.1.3-1.1,H,0.8454106280193237,497.0,250.0,1.988,False,sample,1,NO_RELATION,Limiting information disclosure at initialization versus threat modelling triggered by configuration change.,2,1
5.6-2,5.4.2-3,H,0.7898148148148147,497.0,250.0,1.988,False,sample,1,NO_RELATION,Minimising unauthenticated disclosure versus monitoring internal model states.,3,1
5.8-3,5.2.5-4,,,,,,,pilot,1,NO_RELATION,A mandates disclosure of sensing capabilities to the user; B mandates preventing disclosure of model internals. The obligations run in opposite directions.,2,1
5.11-1,5.3.1-2.2,H,0.8135668276972625,497.0,250.0,1.988,False,sample,2,NO_RELATION,Data erasure functionality versus notification of security updates.,3,2
5.4-4,5.1.2-5.1,L,0.5474235104669887,2981.0,200.0,14.905,False,sample,2,NO_RELATION,Uniqueness of security parameters versus internal risk reporting culture.,3,2
5.3-13,5.2.5-1,H,0.7797101449275361,497.0,250.0,1.988,False,sample,2,NO_RELATION,Publishing the support period versus pre-release security testing.,3,2
5.13-1A,5.1.2-1,,,,,,,pilot,2,NO_RELATION,Runtime input validation versus a pre-build requirements and risk assessment.,3,2
5.3-15B,5.5.1-2,,,,,,,pilot,2,COMPLEMENTARITY,Both govern end of life but pursue different objectives: hardware replaceability versus secure disposal of data and configuration.,2,2
5.1-4,5.3.1-2,,,,,,,pilot,2,NO_RELATION,Credential change mechanism versus usage and configuration guidance.,3,2
5.12-2,5.1.3-3,M,0.6630032206119163,1490.0,200.0,7.45,False,sample,2,NO_RELATION,User setup guidance versus assurance over external risk owners.,3,2
5.3-14,5.3.1-1,H,0.9575684380032208,497.0,250.0,1.988,False,sample,2,COMPLEMENTARITY,"Both are transparency duties toward the user, on different subject matter: support lifetime versus how data is used and stored.",2,2
5.8-1,5.1.2-6,H,0.8001610305958133,497.0,250.0,1.988,False,sample,2,NO_RELATION,Cryptographic confidentiality in transit versus least-privilege permissions between systems.,2,2
5.6-9,5.2.4-3,H,0.9447665056360708,497.0,250.0,1.988,False,sample,2,OVERLAP,"Both require changes to a system to be tracked, A through version control in development and B through an audit log of configuration and prompt changes.",2,2
5.7-2,5.4.2-3,H,0.879549114331723,497.0,250.0,1.988,True,sample,2,OVERLAP,"Both observe the running system for security-relevant state, A by alerting on detected tampering and B by monitoring internal states.",2,2
5.6-8,5.2.2-5,L,0.2845410628019323,2981.0,200.0,14.905,False,sample,2,NO_RELATION,Memory access control versus incident management and recovery planning.,3,2
5.5-5,5.2.3-2,H,0.8196054750402576,497.0,250.0,1.988,False,sample,2,NO_RELATION,Authenticated configuration change versus justification for undocumented components.,3,2
5.4-2,5.3.1-1,H,0.7917069243156201,497.0,250.0,1.988,False,sample,2,NO_RELATION,Tamper-resistant device identity versus disclosure of data handling practices.,3,2
5.9-1,5.4.2-3,M,0.5814814814814815,1490.0,200.0,7.45,False,sample,2,NO_RELATION,Resilience to network and power outage versus monitoring internal model states.,3,2
5.9-2,5.2.1-3.1,,,,,,,pilot,2,OVERLAP,Both require restoration to a known good working state after disruption; A adds continued local operation during network loss.,3,2
5.3-16,5.2.4-1.1,L,0.3161835748792271,2981.0,200.0,14.905,True,sample,2,COMPLEMENTARITY,Model designation labelling and security-relevant system documentation are different objectives that together let a stakeholder identify and assess what they hold.,2,2
5.6-8,5.2.2-1,,,,,,,pilot,2,OVERLAP,"Both apply access control to protect system internals, A at the hardware memory level and B across APIs, models and pipelines.",2,2
5.3-10,5.1.2-4,M,0.7154589371980677,1490.0,200.0,7.45,False,sample,2,COMPLEMENTARITY,Cryptographic verification of updates and due diligence on external components are distinct objectives that together establish trust in incoming code.,2,2
5.3-13,5.1.4-1,L,0.3465378421900161,2981.0,200.0,14.905,False,sample,2,NO_RELATION,Support period publication versus human oversight capability.,3,2
5.6-5,5.1.2-6,H,0.8876811594202898,497.0,250.0,1.988,False,sample,2,OVERLAP,"Both apply least functionality: A enables only the software services required for operation, B grants only the permissions required for functionality and adds a risk assessment.",3,2
5.4-4,5.2.3-1,H,0.8328502415458937,497.0,250.0,1.988,False,sample,2,NO_RELATION,Per-device parameter uniqueness versus secure software supply chain process.,2,2
5.3-15A,5.1.3-1,L,0.2931561996779388,2981.0,200.0,14.905,False,sample,2,NO_RELATION,Isolability of unsupportable devices versus threat analysis and risk management.,2,2
5.12-2,5.2.5-1,H,0.8534219001610307,497.0,250.0,1.988,False,sample,2,NO_RELATION,Setup guidance versus pre-release security assessment.,3,2
5.3-13,5.1.2-7,H,0.7983494363929148,497.0,250.0,1.988,False,sample,2,NO_RELATION,Support period publication versus supplier due diligence.,3,2
5.3-3,5.4.1-1,M,0.7412238325281804,1490.0,200.0,7.45,False,sample,2,OVERLAP,"Both work toward updates actually reaching and being applied by users, A through ease of application and B through provision and delivery.",2,2
5.7-2,5.2.1-2,H,0.852012882447665,497.0,250.0,1.988,False,sample,2,OVERLAP,"Both protect the integrity of software assets, A by detecting unauthorized change and B by authenticating and version-controlling assets.",2,2
5.3-15B,5.1.2-1.1,L,0.265780998389694,2981.0,200.0,14.905,False,sample,2,NO_RELATION,Hardware replaceability versus involvement of Data Custodians in requirements setting.,3,2
5.5-7,5.2.1-4.2,M,0.5696457326892109,1490.0,200.0,7.45,False,sample,2,OVERLAP,"Both mandate confidentiality protection for sensitive assets, A for security parameters in transit and B for training data and model weights.",3,2
5.3-10,5.2.2-4,M,0.6591384863123994,1490.0,200.0,7.45,False,sample,2,NO_RELATION,Update integrity verification versus vulnerability disclosure policy.,3,2
5.0-1,5.4.2-4,M,0.7170289855072464,1490.0,200.0,7.45,False,sample,2,NO_RELATION,Recording justifications for non-applicable provisions versus behavioural monitoring.,3,2
5.3-14,5.1.1-2.2,L,0.4214975845410628,2981.0,200.0,14.905,False,sample,2,NO_RELATION,Publishing replacement support versus secure coding training for developers.,3,2
5.5-8,5.1.3-2,H,0.788123993558776,497.0,250.0,1.988,False,sample,2,NO_RELATION,Key lifecycle management versus communicating unresolved threats down the supply chain.,3,2
5.5-1,5.3.1-2.2,H,0.7761272141706924,497.0,250.0,1.988,False,sample,2,NO_RELATION,Cryptographic protection of communications versus update notification.,3,2
5.1-4,5.2.2-4,L,0.5072061191626409,2981.0,200.0,14.905,False,sample,2,NO_RELATION,Credential change mechanism versus vulnerability disclosure policy.,3,2
5.6-3,5.2.3-1,L,0.3997584541062801,2981.0,200.0,14.905,False,sample,2,NO_RELATION,Physical interface exposure versus software supply chain process.,3,2
5.6-9,5.2.2-1,H,0.8872785829307569,497.0,250.0,1.988,False,sample,2,COMPLEMENTARITY,Secure development practice and access-control evaluation are distinct objectives that jointly determine whether the built system is defensible.,2,2
5.1-4,5.2.3-2,M,0.6749597423510467,1490.0,200.0,7.45,False,sample,2,NO_RELATION,Credential change mechanism versus component justification.,3,2
5.3-15B,5.2.3-4,M,0.6051127214170693,1490.0,200.0,7.45,False,sample,2,NO_RELATION,Hardware replaceability versus advance notice of model updates.,3,2
5.8-2,5.2.1-4.2,,,,,,,pilot,2,OVERLAP,"Both require confidentiality protection proportionate to sensitivity, A for personal data in transit and B for training data and model weights.",3,2
5.6-3,5.2.4-2,M,0.5772544283413849,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Physical interface exposure versus provenance documentation for public training data.,3,3
5.1-4,5.3.1-1,H,0.8409420289855072,497.0,250.0,1.988,False,sample,3,NO_RELATION,Credential change mechanism versus disclosure of data handling.,3,3
5.0-1,5.1.3-2,H,0.9539452495974234,497.0,250.0,1.988,False,sample,3,COMPLEMENTARITY,"Both convey residual risk to stakeholders, A by recording unmet provisions and B by escalating unresolved threats down the supply chain.",2,3
5.8-1,5.2.5-3,L,0.3233494363929147,2981.0,200.0,14.905,False,sample,3,NO_RELATION,Cryptographic protection in transit versus sharing test findings with operators.,3,3
5.4-3,5.2.2-1,,,,,,,pilot,3,COMPLEMENTARITY,Prohibiting hard-coded credentials and evaluating access-control frameworks are separate objectives that together determine whether credentials can be abused.,2,3
5.5-1,5.1.2-2,M,0.7030193236714976,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Cryptographic communication versus resilience to adversarial AI attack.,2,3
5.12-1,5.4.2-1,M,0.6694847020933977,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Installation usability versus action logging.,3,3
5.13-1A,5.1.2-6,H,0.8110305958132045,497.0,250.0,1.988,False,sample,3,NO_RELATION,Input validation versus least-privilege permissions between systems.,2,3
5.5-8,5.4.2-4,M,0.6766103059581321,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Key lifecycle management versus model performance monitoring.,3,3
5.5-8,5.5.1-1,M,0.6938808373590982,1490.0,200.0,7.45,False,sample,3,OVERLAP,"Both govern secure handling of sensitive assets across their lifecycle, including disposal; A for critical security parameters, B for training data and models on transfer.",2,3
5.7-1,5.2.4-1,L,0.34585346215781,2981.0,200.0,14.905,False,sample,3,NO_RELATION,Secure boot verification versus design and maintenance audit trail.,3,3
5.3-6B,5.3.1-3,H,0.8780595813204508,497.0,250.0,1.988,False,sample,3,NO_RELATION,Update notification preferences versus incident support for end-users.,3,3
5.4-1,5.2.5-4,L,0.1880434782608696,2981.0,200.0,14.905,False,sample,3,COMPLEMENTARITY,Both limit exposure of sensitive internals but by different means: protected storage versus evaluating outputs for leakage.,2,3
5.5-7,5.1.2-1.1,L,0.3306360708534622,2981.0,200.0,14.905,False,sample,3,NO_RELATION,Confidentiality of parameters in transit versus internal involvement of Data Custodians.,3,3
5.2-3,5.1.3-4,H,0.9154589371980676,497.0,250.0,1.988,True,sample,3,OVERLAP,"Both require continuous monitoring and review for security weaknesses; A is vulnerability-focused with a duty to rectify, B is infrastructure risk review against risk appetite.",3,3
5.5-8,5.2.4-3,,,,,,,pilot,3,NO_RELATION,Key management processes versus audit logging of model configuration.,2,3
5.8-3,5.4.1-1,M,0.5783816425120774,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Documenting sensing capabilities versus patch provision.,3,3
5.1-4,5.1.2-1,L,0.480072463768116,2981.0,200.0,14.905,False,sample,3,NO_RELATION,Credential change mechanism versus pre-build risk assessment.,3,3
5.11-2,5.1.3-1.2,L,0.5095813204508857,2981.0,200.0,14.905,False,sample,3,NO_RELATION,Deletion of personal data from services versus risk from superfluous model capability.,3,3
5.6-3,5.1.4-3,M,0.5650563607085346,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Physical attack surface versus technical measures enabling human oversight.,3,3
5.3-10,5.1.2-7,H,0.7765700483091788,497.0,250.0,1.988,False,sample,3,COMPLEMENTARITY,Verifying update authenticity and vetting the external provider are distinct objectives that together establish trust in what is received.,2,3
5.1-3,5.1.1-2,M,0.715499194847021,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Authentication cryptography versus staff threat awareness.,3,3
5.6-3,5.1.3-1.2,H,0.8523349436392916,497.0,250.0,1.988,False,sample,3,OVERLAP,"Both reduce risk by removing capability that is not needed, A for exposed physical interfaces and B for superfluous model functionality.",2,3
5.6-9,5.2.3-1,,,,,,,pilot,3,OVERLAP,"Both mandate secure processes around how software is built and sourced; A names development practice, B names the supply chain.",3,3
5.5-1,5.1.3-1.1,H,0.871940418679549,497.0,250.0,1.988,False,sample,3,NO_RELATION,Communication cryptography versus threat modelling on configuration change.,3,3
5.3-2,5.1.2-6,M,0.6274154589371981,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Update mechanism versus inter-system permissions.,3,3
5.11-3,5.1.2-4,L,0.1772141706924315,2981.0,200.0,14.905,False,sample,3,NO_RELATION,Data deletion instructions versus external component due diligence.,3,3
5.5-8,5.2.3-2.1,H,0.8370772946859903,497.0,250.0,1.988,False,sample,3,NO_RELATION,Key management versus mitigating controls for poorly documented components.,2,3
5.3-10,5.1.4-4,H,0.7822463768115944,497.0,250.0,1.988,False,sample,3,COMPLEMENTARITY,Runtime verification of update integrity and design-time verification that specified controls were built in address different points in the assurance chain.,2,3
5.9-1,5.1.3-1,M,0.584500805152979,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Outage resilience versus threat analysis and risk management.,2,3
5.6-9,5.1.4-4,H,0.8439613526570048,497.0,250.0,1.988,False,sample,3,OVERLAP,"Both aim at security being correctly built into the delivered software, A through development process and B through verification of specified controls.",2,3
5.2-1,5.2.2-4,,,,,,,pilot,3,EQUIVALENCE,Both require a vulnerability disclosure policy to be published and accessible; the differences are elaboration of the same obligation rather than of scope.,2,3
5.1-3,5.1.2-4,H,0.7868760064412239,497.0,250.0,1.988,False,sample,3,NO_RELATION,Authentication cryptography versus component due diligence.,3,3
5.6-3,5.4.2-1,L,0.5505636070853462,2981.0,200.0,14.905,False,sample,3,NO_RELATION,Physical attack surface versus action logging.,3,3
5.10-1,5.1.4-3,L,0.4450483091787439,2981.0,200.0,14.905,True,sample,3,NO_RELATION,Telemetry anomaly examination versus technical measures for human oversight.,2,3
5.2-2,5.1.3-1.1,H,0.8483091787439612,497.0,250.0,1.988,False,sample,3,NO_RELATION,Timely vulnerability remediation versus threat modelling on configuration change.,2,3
5.6-4A,5.2.2-2,H,0.81658615136876,497.0,250.0,1.988,False,sample,3,OVERLAP,"Both protect an exposed interface through access control against abuse; A covers debug interfaces, B covers externally offered APIs with rate limiting.",2,3
5.0-1,5.2.4-1,,,,,,,pilot,3,OVERLAP,Both require documentation to be recorded and made available so downstream stakeholders can assess the security posture.,2,3
5.3-6B,5.1.3-1.1,M,0.5670692431561997,1490.0,200.0,7.45,False,sample,3,NO_RELATION,Update notification preferences versus threat modelling on configuration change.,3,3
5.3-4B,5.3.1-2,H,0.8217793880837359,497.0,250.0,1.988,False,sample,3,NO_RELATION,Automatic update activation at initialization versus provision of usage guidance.,2,3
5.3-11,5.1.2-6,M,0.643840579710145,1490.0,200.0,7.45,False,sample,4,NO_RELATION,Update notification to the user versus inter-system permission scoping.,3,4
5.3-8,5.1.1-2.1,H,0.8563204508856682,497.0,250.0,1.988,False,sample,4,COMPLEMENTARITY,Prompt remediation and dissemination of threat information to staff are different objectives that together determine how fast an organization actually responds.,2,4
5.1-1,5.2.1-4,M,0.7480676328502416,1490.0,200.0,7.45,False,sample,4,COMPLEMENTARITY,Credential uniqueness and protection of sensitive data are distinct objectives that jointly prevent unauthorized access to what the system holds.,2,4
